pipeline_name,last_run_time,duration_min,status,owner,trigger_type,error_message,evaluation_prompt
user_events_pipeline,2025-03-22 05:07:28,9.64,Failed,Andreas,event,Timeout error,The pipeline 'user_events_pipeline' failed on 2025-03-22 05:07:28 with the error: Timeout error.
analytics_summary_job,2025-03-22 11:07:28,18.13,Failed,Andreas,event,Permission denied,The pipeline 'analytics_summary_job' failed on 2025-03-22 11:07:28 with the error: Permission denied.
sales_data_etl,2025-03-23 06:07:28,12.01,Success,Andreas,manual,,The pipeline succeeded.
user_events_pipeline,2025-03-23 16:07:28,4.21,Failed,Emily,event,Out of memory,The pipeline 'user_events_pipeline' failed on 2025-03-23 16:07:28 with the error: Out of memory.
inventory_check_pipeline,2025-03-23 08:07:28,3.4,Failed,Arockia,event,Permission denied,The pipeline 'inventory_check_pipeline' failed on 2025-03-23 08:07:28 with the error: Permission denied.
product_catalog_sync,2025-03-22 06:07:28,28.04,Success,Arockia,event,,The pipeline succeeded.
user_events_pipeline,2025-03-23 08:07:28,21.92,Failed,Emily,schedule,Timeout error,The pipeline 'user_events_pipeline' failed on 2025-03-23 08:07:28 with the error: Timeout error.
daily_aggregates_pipeline,2025-03-23 12:07:28,15.95,Failed,Sarah,event,Timeout error,The pipeline 'daily_aggregates_pipeline' failed on 2025-03-23 12:07:28 with the error: Timeout error.
payment_processing_job,2025-03-22 10:07:28,19.54,Success,Juan,event,,The pipeline succeeded.
product_catalog_sync,2025-03-23 09:07:28,3.17,Failed,Arockia,event,Timeout error,The pipeline 'product_catalog_sync' failed on 2025-03-23 09:07:28 with the error: Timeout error.
payment_processing_job,2025-03-21 21:07:28,1.54,Success,Juan,event,,The pipeline succeeded.
marketing_campaign_ingest,2025-03-24 04:07:28,17.46,Success,Sarah,schedule,,The pipeline succeeded.
product_catalog_sync,2025-03-23 01:07:28,6.24,Failed,Andreas,schedule,Null pointer exception,The pipeline 'product_catalog_sync' failed on 2025-03-23 01:07:28 with the error: Null pointer exception.
